title,adjusted_gross,unadjusted_gross,release_date
Marvel's The Avengers,705769500,623357910,5/4/12
Black Panther,688009500,688009489,2/16/18
Avengers: Age of Ultron,491377100,459005868,5/1/15
Iron Man 3,448436600,409013994,5/3/13
Captain America: Civil War,429213000,408084349,5/6/16
Iron Man,407095000,318412101,5/2/08
Guardians of the Galaxy Vol. 2,399848900,389813101,5/5/17
Guardians of the Galaxy,378010100,333176600,8/1/14
Iron Man 2,364154800,312433331,5/7/10
Spider-Man: Homecoming,343499000,334201140,7/7/17
Thor: Ragnarok,315058300,315058289,11/3/17
Captain America: The Winter Soldier,286373800,259766572,4/4/14
Avengers: Infinity War,250000000,250000000,4/27/18
Doctor Strange,242945100,232641920,11/4/16
Thor: The Dark World,227121100,206362140,11/8/13
Thor,206246700,181030624,5/6/11
Captain America: The First Avenger,204271500,176654505,7/22/11
Ant-Man,200382200,180202163,7/17/15
The Incredible Hulk,172357600,134806913,6/13/08
